Alpha Short to Red,,,
Hole,Par,Length,Notes
1,3,213,Parking lot OB
2,3,240, Water OB
3,3,243,OB left of stringline. Fence OB
4,3,210,fence OB
5,3,180,fence OB
6,3,192,fence OB
7,3,220,OB inside stringline. Fence OB 
8,3,231,OB inside stringline
9,3,186,Island Green. Miss = Drop Zone. Normal OB from DZ and island
10,3,186,Drop zone if you land in water (no penalty)
11,3,234,
12,4,390,
13,4,378,Fence OB
14,3,264,
15,3,280,
16,3,210,On/Across road OB
17,3,220,
18,3,307,Road/Parking lot OB
,56,4384,
,,,
Alpha Short to Gold,,,
Hole,Par,Length,Notes
1,3,260,Parking lot OB
2,3,255,Water OB
3,3,279,OB left of stringline. Fence OB
4,3,250,fence OB
5,3,210,fence OB
6,3,252,fence OB
7,4,648,OB inside stringline. Fence OB. 
8,3,294,OB inside stringline
9,3,260,Island Green. Miss = Drop Zone. Normal OB from DZ and island
10,3,246,Drop zone if you land in water (no penalty)
11,3,285,
12,4,434,
13,4,475,Fence OB
14,3,325,
15,3,222,
16,3,250,On/Across road OB
17,3,212,
18,4,400,Road/Parking lot OB
,58,5302,
,,,
Alpha Long to Gold,,,
Hole,Par,Length,Notes
1,3,350,Parking lot OB
2,4,441,Must cross stringline to be inbounds. OB go to drop zone. Water OB
3,3,333,OB left of stringline. Fence OB
4,3,250,fence OB
5,3,255,fence OB
6,3,318,fence OB
7,4,512,OB inside stringline. Fence OB. Mando. If disc touches restricted space drop zone is short pad
8,3,342,OB inside stringline
9,3,260,Island Green. Miss = Drop Zone. Normal OB from DZ and island
10,3,276,Drop zone if you land in water (no penalty)
11,3,345,
12,4,575,
13,4,550,Fence OB
14,3,430,
15,3,250,
16,3,290,On/Across road OB
17,3,260,
18,4,470,Road/Parking lot OB
,59,6507,
,,,
Barwick Red,,,
Hole,Par,Length,Notes
1,3,318,Water OB
2,3,156,
3,3,230,
4,3,285,On/across sidewalk OB
5,3,169,
6,3,228,On/across sidewalk OB
7,3,210,Beyond string line OB
8,3,190,Beyond string line OB
9,3,165,Fence OB
10,3,275,Island Green. Miss = Drop Zone. Normal OB from DZ and island
11,3,311,Fence OB. On/Across Road OB. Beyond string line OB
12,3,258,Inside stringline OB. Fence OB
13,3,255,Fence OB
14,3,270,
15,3,215,Drop zone if you land in water (no penalty)
16,3,220,On/over road OB
17,4,375,Relief from debris pile (no penalty)
18,3,156,Drop zone if you land in water (no penalty)
,55,4361,
,,,
Barwick Gold,,,
Hole,Par,Length,Notes
1,3,390,Water OB
2,3,210,
3,3,300,
4,3,321,On/across sidewalk OB
5,3,192,
6,3,240,On/across sidewalk OB
7,3,215,Beyond string line OB
8,3,230,Beyond string line OB
9,3,191,Fence OB
10,3,267,Island Green. Miss = Drop Zone. Normal OB from DZ and island
11,3,356,Fence OB. On/Across Road OB. Beyond string line OB
12,3,306,Inside stringline OB. Fence OB
13,3,295,Fence OB
14,3,300,
15,3,240,Drop zone if you land in water (no penalty)
16,3,228,On/over road OB
17,4,495,Relief from debris pile (no penalty)
18,3,195,Drop zone if you land in water (no penalty)
,55,4971,
